Richness,Date,Transect_ID,points,reach,canopy,cat1,cat2,cat3,flow
6,2/14/2022,1,a,a,19,122.23,20.37,264.84,10
3,2/20/2022,1,a,a,19,122.23,20.37,264.84,10
5,2/28/2022,1,a,a,19,122.23,20.37,264.84,10
3,3/8/2022,1,a,a,19,122.23,20.37,264.84,10
4,3/15/2022,1,a,a,19,122.23,20.37,264.84,10
5,3/22/2022,1,a,a,19,122.23,20.37,264.84,10
4,3/30/2022,1,a,a,19,122.23,20.37,264.84,10
4,4/5/2022,1,a,a,19,122.23,20.37,264.84,10
5,4/12/2022,1,a,a,19,122.23,20.37,264.84,10
8,2/14/2022,2,b,a,24,244.46,61.12,264.84,10
6,2/20/2022,2,b,a,24,244.46,61.12,264.84,10
7,2/28/2022,2,b,a,24,244.46,61.12,264.84,10
5,3/8/2022,2,b,a,24,244.46,61.12,264.84,10
6,3/15/2022,2,b,a,24,244.46,61.12,264.84,10
6,3/22/2022,2,b,a,24,244.46,61.12,264.84,10
5,3/30/2022,2,b,a,24,244.46,61.12,264.84,10
6,4/5/2022,2,b,a,24,244.46,61.12,264.84,10
7,4/12/2022,2,b,a,24,244.46,61.12,264.84,10
4,2/14/2022,3,c,a,17,224.09,122.23,224.09,10
7,2/20/2022,3,c,a,17,224.09,122.23,224.09,10
5,2/28/2022,3,c,a,17,224.09,122.23,224.09,10
6,3/8/2022,3,c,a,17,224.09,122.23,224.09,10
6,3/15/2022,3,c,a,17,224.09,122.23,224.09,10
4,3/22/2022,3,c,a,17,224.09,122.23,224.09,10
6,3/30/2022,3,c,a,17,224.09,122.23,224.09,10
5,4/5/2022,3,c,a,17,224.09,122.23,224.09,10
7,4/12/2022,3,c,a,17,224.09,122.23,224.09,10
7,2/14/2022,4,d,a,17,244.46,162.98,264.84,10
7,2/20/2022,4,d,a,17,244.46,162.98,264.84,10
5,2/28/2022,4,d,a,17,244.46,162.98,264.84,10
5,3/8/2022,4,d,a,17,244.46,162.98,264.84,10
6,3/15/2022,4,d,a,17,244.46,162.98,264.84,10
7,3/22/2022,4,d,a,17,244.46,162.98,264.84,10
7,3/30/2022,4,d,a,17,244.46,162.98,264.84,10
6,4/5/2022,4,d,a,17,244.46,162.98,264.84,10
6,4/12/2022,4,d,a,17,244.46,162.98,264.84,10
4,2/14/2022,5,e,a,26,101.86,122.23,285.21,10
8,2/20/2022,5,e,a,26,101.86,122.23,285.21,10
4,2/28/2022,5,e,a,26,101.86,122.23,285.21,10
4,3/8/2022,5,e,a,26,101.86,122.23,285.21,10
5,3/15/2022,5,e,a,26,101.86,122.23,285.21,10
2,3/22/2022,5,e,a,26,101.86,122.23,285.21,10
6,3/30/2022,5,e,a,26,101.86,122.23,285.21,10
5,4/5/2022,5,e,a,26,101.86,122.23,285.21,10
3,4/12/2022,5,e,a,26,101.86,122.23,285.21,10
6,2/14/2022,6,f,a,18,81.49,162.98,183.35,10
4,2/20/2022,6,f,a,18,81.49,162.98,183.35,10
4,2/28/2022,6,f,a,18,81.49,162.98,183.35,10
7,3/8/2022,6,f,a,18,81.49,162.98,183.35,10
4,3/15/2022,6,f,a,18,81.49,162.98,183.35,10
4,3/22/2022,6,f,a,18,81.49,162.98,183.35,10
5,3/30/2022,6,f,a,18,81.49,162.98,183.35,10
3,4/5/2022,6,f,a,18,81.49,162.98,183.35,10
6,4/12/2022,6,f,a,18,81.49,162.98,183.35,10
5,2/14/2022,7,g,a,9,203.72,101.86,61.12,10
5,2/20/2022,7,g,a,9,203.72,101.86,61.12,10
6,2/28/2022,7,g,a,9,203.72,101.86,61.12,10
7,3/8/2022,7,g,a,9,203.72,101.86,61.12,10
8,3/15/2022,7,g,a,9,203.72,101.86,61.12,10
6,3/22/2022,7,g,a,9,203.72,101.86,61.12,10
5,3/30/2022,7,g,a,9,203.72,101.86,61.12,10
5,4/5/2022,7,g,a,9,203.72,101.86,61.12,10
8,4/12/2022,7,g,a,9,203.72,101.86,61.12,10
3,2/14/2022,8,h,a,7,224.09,61.12,20.37,10
5,2/20/2022,8,h,a,7,224.09,61.12,20.37,10
4,2/28/2022,8,h,a,7,224.09,61.12,20.37,10
3,3/8/2022,8,h,a,7,224.09,61.12,20.37,10
4,3/15/2022,8,h,a,7,224.09,61.12,20.37,10
6,3/22/2022,8,h,a,7,224.09,61.12,20.37,10
4,3/30/2022,8,h,a,7,224.09,61.12,20.37,10
6,4/5/2022,8,h,a,7,224.09,61.12,20.37,10
6,4/12/2022,8,h,a,7,224.09,61.12,20.37,10
6,2/14/2022,9,i,a,8,101.86,81.49,61.12,10
6,2/20/2022,9,i,a,8,101.86,81.49,61.12,10
5,2/28/2022,9,i,a,8,101.86,81.49,61.12,10
5,3/8/2022,9,i,a,8,101.86,81.49,61.12,10
6,3/15/2022,9,i,a,8,101.86,81.49,61.12,10
4,3/22/2022,9,i,a,8,101.86,81.49,61.12,10
3,3/30/2022,9,i,a,8,101.86,81.49,61.12,10
6,4/5/2022,9,i,a,8,101.86,81.49,61.12,10
8,4/12/2022,9,i,a,8,101.86,81.49,61.12,10
3,2/19/2022,11,j,b,0,0,0,0,0
3,2/25/2022,11,j,b,0,0,0,0,0
5,3/2/2022,11,j,b,0,0,0,0,0
3,3/10/2022,11,j,b,0,0,0,0,0
5,3/16/2022,11,j,b,0,0,0,0,0
3,3/23/2022,11,j,b,0,0,0,0,0
3,4/1/2022,11,j,b,0,0,0,0,0
3,4/6/2022,11,j,b,0,0,0,0,0
3,4/13/2022,11,j,b,0,0,0,0,0
4,2/19/2022,12,k,b,0,81.48797034,0,0,0
5,2/25/2022,12,k,b,0,81.48797034,0,0,0
6,3/2/2022,12,k,b,0,81.48797034,0,0,0
2,3/10/2022,12,k,b,0,81.48797034,0,0,0
4,3/16/2022,12,k,b,0,81.48797034,0,0,0
4,3/23/2022,12,k,b,0,81.48797034,0,0,0
3,4/1/2022,12,k,b,0,81.48797034,0,0,0
5,4/6/2022,12,k,b,0,81.48797034,0,0,0
3,4/13/2022,12,k,b,0,81.48797034,0,0,0
6,2/19/2022,13,l,b,9,40.74398517,61.11597775,20.37199258,1.6
6,2/25/2022,13,l,b,9,40.74398517,61.11597775,20.37199258,1.6
2,3/2/2022,13,l,b,9,40.74398517,61.11597775,20.37199258,1.6
3,3/10/2022,13,l,b,9,40.74398517,61.11597775,20.37199258,1.6
4,3/16/2022,13,l,b,9,40.74398517,61.11597775,20.37199258,1.6
6,3/23/2022,13,l,b,9,40.74398517,61.11597775,20.37199258,1.6
5,4/1/2022,13,l,b,9,40.74398517,61.11597775,20.37199258,1.6
3,4/6/2022,13,l,b,9,40.74398517,61.11597775,20.37199258,1.6
4,4/13/2022,13,l,b,9,40.74398517,61.11597775,20.37199258,1.6
4,2/19/2022,14,m,b,0,20.37199258,0,0,3.3
6,2/25/2022,14,m,b,0,20.37199258,0,0,3.3
4,3/2/2022,14,m,b,0,20.37199258,0,0,3.3
3,3/10/2022,14,m,b,0,20.37199258,0,0,3.3
2,3/16/2022,14,m,b,0,20.37199258,0,0,3.3
2,3/23/2022,14,m,b,0,20.37199258,0,0,3.3
3,4/1/2022,14,m,b,0,20.37199258,0,0,3.3
6,4/6/2022,14,m,b,0,20.37199258,0,0,2.7
5,4/13/2022,14,m,b,0,20.37199258,0,0,2.7
5,2/19/2022,15,n,b,2,203.72,20.37,0,3.3
6,2/25/2022,15,n,b,2,203.72,20.37,0,3.3
5,3/2/2022,15,n,b,2,203.72,20.37,0,3.3
5,3/10/2022,15,n,b,2,203.72,20.37,0,3.3
2,3/16/2022,15,n,b,2,203.72,20.37,0,3.3
3,3/23/2022,15,n,b,2,203.72,20.37,0,3.3
5,4/1/2022,15,n,b,2,203.72,20.37,0,3.3
3,4/6/2022,15,n,b,2,203.72,20.37,0,2.7
6,4/13/2022,15,n,b,2,203.72,20.37,0,2.7
6,2/19/2022,16,o,b,0,61.12,0,20.37,3.3
5,2/25/2022,16,o,b,0,61.12,0,20.37,3.3
5,3/2/2022,16,o,b,0,61.12,0,20.37,3.3
7,3/10/2022,16,o,b,0,61.12,0,20.37,3.3
6,3/16/2022,16,o,b,0,61.12,0,20.37,3.3
6,3/23/2022,16,o,b,0,61.12,0,20.37,3.3
4,4/1/2022,16,o,b,0,61.12,0,20.37,3.3
5,4/6/2022,16,o,b,0,61.12,0,20.37,2.7
4,4/13/2022,16,o,b,0,61.12,0,20.37,2.7
6,2/19/2022,17,p,b,0,346.32,0,0,3.3
7,2/25/2022,17,p,b,0,346.32,0,0,3.3
6,3/2/2022,17,p,b,0,346.32,0,0,3.3
7,3/10/2022,17,p,b,0,346.32,0,0,3.3
5,3/16/2022,17,p,b,0,346.32,0,0,3.3
6,3/23/2022,17,p,b,0,346.32,0,0,3.3
5,4/1/2022,17,p,b,0,346.32,0,0,3.3
5,4/6/2022,17,p,b,0,346.32,0,0,2.7
4,4/13/2022,17,p,b,0,346.32,0,0,2.7
5,2/19/2022,18,q,b,0,183.35,0,0,3.3
5,2/25/2022,18,q,b,0,183.35,0,0,3.3
5,3/2/2022,18,q,b,0,183.35,0,0,3.3
6,3/10/2022,18,q,b,0,183.35,0,0,3.3
3,3/16/2022,18,q,b,0,183.35,0,0,3.3
4,3/23/2022,18,q,b,0,183.35,0,0,3.3
5,4/1/2022,18,q,b,0,183.35,0,0,3.3
4,4/6/2022,18,q,b,0,183.35,0,0,2.7
5,4/13/2022,18,q,b,0,183.35,0,0,2.7
6,2/19/2022,19,r,b,1,325.9518814,40.74398517,0,3.3
2,2/25/2022,19,r,b,1,325.9518814,40.74398517,0,3.3
4,3/2/2022,19,r,b,1,325.9518814,40.74398517,0,3.3
5,3/10/2022,19,r,b,1,325.9518814,40.74398517,0,3.3
8,3/16/2022,19,r,b,1,325.9518814,40.74398517,0,3.3
4,3/23/2022,19,r,b,1,325.9518814,40.74398517,0,3.3
8,4/1/2022,19,r,b,1,325.9518814,40.74398517,0,3.3
10,4/6/2022,19,r,b,1,325.9518814,40.74398517,0,2.7
10,4/13/2022,19,r,b,1,325.9518814,40.74398517,0,2.7
4,2/12/2022,21,s,c,10,162.9759407,122.2319555,0,1.7
4,2/26/2022,21,s,c,10,162.9759407,122.2319555,0,2.9
5,3/1/2022,21,s,c,10,162.9759407,122.2319555,0,2.9
5,3/9/2022,21,s,c,10,162.9759407,122.2319555,0,3
6,3/18/2022,21,s,c,10,162.9759407,122.2319555,0,2.9
5,3/25/2022,21,s,c,10,162.9759407,122.2319555,0,2.9
5,4/2/2022,21,s,c,10,162.9759407,122.2319555,0,3.1
6,4/8/2022,21,s,c,10,162.9759407,122.2319555,0,2.9
6,4/14/2022,21,s,c,10,162.9759407,122.2319555,0,6
5,2/12/2022,22,t,c,0,468.5558294,61.11597775,20.37199258,1.7
6,2/26/2022,22,t,c,0,468.5558294,61.11597775,20.37199258,2.9
3,3/1/2022,22,t,c,0,468.5558294,61.11597775,20.37199258,2.9
5,3/9/2022,22,t,c,0,468.5558294,61.11597775,20.37199258,3
4,3/18/2022,22,t,c,0,468.5558294,61.11597775,20.37199258,2.9
3,3/25/2022,22,t,c,0,468.5558294,61.11597775,20.37199258,2.9
5,4/2/2022,22,t,c,0,468.5558294,61.11597775,20.37199258,3.1
5,4/8/2022,22,t,c,0,468.5558294,61.11597775,20.37199258,2.9
7,4/14/2022,22,t,c,0,468.5558294,61.11597775,20.37199258,6
5,2/12/2022,23,u,c,0,631.53,40.74,0,1.7
6,2/26/2022,23,u,c,0,631.53,40.74,0,2.9
5,3/1/2022,23,u,c,0,631.53,40.74,0,2.9
4,3/9/2022,23,u,c,0,631.53,40.74,0,3
8,3/18/2022,23,u,c,0,631.53,40.74,0,2.9
5,3/25/2022,23,u,c,0,631.53,40.74,0,2.9
4,4/2/2022,23,u,c,0,631.53,40.74,0,3.1
5,4/8/2022,23,u,c,0,631.53,40.74,0,2.9
6,4/14/2022,23,u,c,0,631.53,40.74,0,6
3,2/12/2022,24,v,c,0,733.39,40.74,0,1.7
5,2/26/2022,24,v,c,0,733.39,40.74,0,2.9
4,3/1/2022,24,v,c,0,733.39,40.74,0,2.9
3,3/9/2022,24,v,c,0,733.39,40.74,0,3
4,3/18/2022,24,v,c,0,733.39,40.74,0,2.9
5,3/25/2022,24,v,c,0,733.39,40.74,0,2.9
5,4/2/2022,24,v,c,0,733.39,40.74,0,3.1
4,4/8/2022,24,v,c,0,733.39,40.74,0,2.9
3,4/14/2022,24,v,c,0,733.39,40.74,0,6
1,2/12/2022,25,w,c,4,346.32,0,0,1.7
4,2/26/2022,25,w,c,4,346.32,0,0,2.9
2,3/1/2022,25,w,c,4,346.32,0,0,2.9
3,3/9/2022,25,w,c,4,346.32,0,0,3
2,3/18/2022,25,w,c,4,346.32,0,0,2.9
3,3/25/2022,25,w,c,4,346.32,0,0,2.9
4,4/2/2022,25,w,c,4,346.32,0,0,3.1
2,4/8/2022,25,w,c,4,346.32,0,0,2.9
6,4/14/2022,25,w,c,4,346.32,0,0,6
7,2/12/2022,26,x,c,4,203.72,0,61.12,1.7
8,2/26/2022,26,x,c,4,203.72,0,61.12,2.9
6,3/1/2022,26,x,c,4,203.72,0,61.12,2.9
6,3/9/2022,26,x,c,4,203.72,0,61.12,3
8,3/18/2022,26,x,c,4,203.72,0,61.12,2.9
6,3/25/2022,26,x,c,4,203.72,0,61.12,2.9
4,4/2/2022,26,x,c,4,203.72,0,61.12,3.1
3,4/8/2022,26,x,c,4,203.72,0,61.12,2.9
4,4/14/2022,26,x,c,4,203.72,0,61.12,6
9,2/12/2022,27,y,c,10,672.28,101.86,20.37,1.7
5,2/26/2022,27,y,c,10,672.28,101.86,20.37,2.9
7,3/1/2022,27,y,c,10,672.28,101.86,20.37,2.9
8,3/9/2022,27,y,c,10,672.28,101.86,20.37,3
5,3/18/2022,27,y,c,10,672.28,101.86,20.37,2.9
4,3/25/2022,27,y,c,10,672.28,101.86,20.37,2.9
8,4/2/2022,27,y,c,10,672.28,101.86,20.37,3.1
5,4/8/2022,27,y,c,10,672.28,101.86,20.37,2.9
5,4/14/2022,27,y,c,10,672.28,101.86,20.37,6
4,2/12/2022,28,z,c,0,325.95,0,0,1.7
9,2/26/2022,28,z,c,0,325.95,0,0,2.9
8,3/1/2022,28,z,c,0,325.95,0,0,2.9
8,3/9/2022,28,z,c,0,325.95,0,0,3
7,3/18/2022,28,z,c,0,325.95,0,0,2.9
5,3/25/2022,28,z,c,0,325.95,0,0,2.9
8,4/2/2022,28,z,c,0,325.95,0,0,3.1
7,4/8/2022,28,z,c,0,325.95,0,0,2.9
6,4/14/2022,28,z,c,0,325.95,0,0,6
5,2/12/2022,29,aa,c,0,203.72,0,0,1.7
9,2/26/2022,29,aa,c,0,203.72,0,0,2.9
5,3/1/2022,29,aa,c,0,203.72,0,0,2.9
5,3/9/2022,29,aa,c,0,203.72,0,0,3
6,3/18/2022,29,aa,c,0,203.72,0,0,2.9
5,3/25/2022,29,aa,c,0,203.72,0,0,2.9
2,4/2/2022,29,aa,c,0,203.72,0,0,3.1
3,4/8/2022,29,aa,c,0,203.72,0,0,2.9
4,4/14/2022,29,aa,c,0,203.72,0,0,6
6,2/17/2022,31,ab,d,0,1120.46,0,0,0
6,2/21/2022,31,ab,d,0,1120.46,0,0,0
6,3/5/2022,31,ab,d,0,1120.46,0,0,0
4,3/11/2022,31,ab,d,0,1120.46,0,0,0
4,3/17/2022,31,ab,d,0,1120.46,0,0,0
5,3/24/2022,31,ab,d,0,1120.46,0,0,0
4,3/31/2022,31,ab,d,0,1120.46,0,0,0
4,4/7/2022,31,ab,d,0,1120.46,0,0,0
4,4/15/2022,31,ab,d,0,1120.46,0,0,0
3,2/17/2022,32,ac,d,0,814.88,0,0,0
5,2/21/2022,32,ac,d,0,814.88,0,0,0
5,3/5/2022,32,ac,d,0,814.88,0,0,0
5,3/11/2022,32,ac,d,0,814.88,0,0,0
5,3/17/2022,32,ac,d,0,814.88,0,0,0
3,3/24/2022,32,ac,d,0,814.88,0,0,0
4,3/31/2022,32,ac,d,0,814.88,0,0,0
4,4/7/2022,32,ac,d,0,814.88,0,0,0
4,4/15/2022,32,ac,d,0,814.88,0,0,0
4,2/17/2022,33,ad,d,1,427.81,0,0,0
5,2/21/2022,33,ad,d,1,427.81,0,0,0
5,3/5/2022,33,ad,d,1,427.81,0,0,0
4,3/11/2022,33,ad,d,1,427.81,0,0,0
6,3/17/2022,33,ad,d,1,427.81,0,0,0
4,3/24/2022,33,ad,d,1,427.81,0,0,0
8,3/31/2022,33,ad,d,1,427.81,0,0,0
5,4/7/2022,33,ad,d,1,427.81,0,0,0
4,4/15/2022,33,ad,d,1,427.81,0,0,0
6,2/17/2022,34,ae,d,0,468.56,20.37,0,0
3,2/21/2022,34,ae,d,0,468.56,20.37,0,0
6,3/5/2022,34,ae,d,0,468.56,20.37,0,0
7,3/11/2022,34,ae,d,0,468.56,20.37,0,0
5,3/17/2022,34,ae,d,0,468.56,20.37,0,0
3,3/24/2022,34,ae,d,0,468.56,20.37,0,0
5,3/31/2022,34,ae,d,0,468.56,20.37,0,0
3,4/7/2022,34,ae,d,0,468.56,20.37,0,0
4,4/15/2022,34,ae,d,0,468.56,20.37,0,0
6,2/17/2022,35,af,d,2,570.42,0,0,0
3,2/21/2022,35,af,d,2,570.42,0,0,0
5,3/5/2022,35,af,d,2,570.42,0,0,0
3,3/11/2022,35,af,d,2,570.42,0,0,0
4,3/17/2022,35,af,d,2,570.42,0,0,0
4,3/24/2022,35,af,d,2,570.42,0,0,0
3,3/31/2022,35,af,d,2,570.42,0,0,0
3,4/7/2022,35,af,d,2,570.42,0,0,0
6,4/15/2022,35,af,d,2,570.42,0,0,0
5,2/17/2022,36,ag,d,0,162.98,0,0,0
3,2/21/2022,36,ag,d,0,162.98,0,0,0
8,3/5/2022,36,ag,d,0,162.98,0,0,0
4,3/11/2022,36,ag,d,0,162.98,0,0,0
5,3/17/2022,36,ag,d,0,162.98,0,0,0
2,3/24/2022,36,ag,d,0,162.98,0,0,0
5,3/31/2022,36,ag,d,0,162.98,0,0,0
6,4/7/2022,36,ag,d,0,162.98,0,0,0
3,4/15/2022,36,ag,d,0,162.98,0,0,0
5,2/17/2022,37,ah,d,3,122.23,20.37,0,0
8,2/21/2022,37,ah,d,3,122.23,20.37,0,0
5,3/5/2022,37,ah,d,3,122.23,20.37,0,0
5,3/11/2022,37,ah,d,3,122.23,20.37,0,0
5,3/17/2022,37,ah,d,3,122.23,20.37,0,0
4,3/24/2022,37,ah,d,3,122.23,20.37,0,0
6,3/31/2022,37,ah,d,3,122.23,20.37,0,0
3,4/7/2022,37,ah,d,3,122.23,20.37,0,0
2,4/15/2022,37,ah,d,3,122.23,20.37,0,0
3,2/17/2022,38,ai,d,0,590.79,0,0,0
3,2/21/2022,38,ai,d,0,590.79,0,0,0
5,3/5/2022,38,ai,d,0,590.79,0,0,0
4,3/11/2022,38,ai,d,0,590.79,0,0,0
3,3/17/2022,38,ai,d,0,590.79,0,0,0
5,3/24/2022,38,ai,d,0,590.79,0,0,0
6,3/31/2022,38,ai,d,0,590.79,0,0,0
5,4/7/2022,38,ai,d,0,590.79,0,0,0
3,4/15/2022,38,ai,d,0,590.79,0,0,0
3,2/17/2022,39,aj,d,0,244.46,122.23,0,0
3,2/21/2022,39,aj,d,0,244.46,122.23,0,0
5,3/5/2022,39,aj,d,0,244.46,122.23,0,0
3,3/11/2022,39,aj,d,0,244.46,122.23,0,0
6,3/17/2022,39,aj,d,0,244.46,122.23,0,0
5,3/24/2022,39,aj,d,0,244.46,122.23,0,0
4,3/31/2022,39,aj,d,0,244.46,122.23,0,0
3,4/7/2022,39,aj,d,0,244.46,122.23,0,0
4,4/15/2022,39,aj,d,0,244.46,122.23,0,0
